Analyst 21,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 22,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 23,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 24,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 25,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 26,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 27,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 28,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 29,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 30,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 31,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 32,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 33,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 34,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 35,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 36,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 37,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 38,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 39,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 40,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments
40,T21-VI5S ,Paracetamol,Paracetamol,Paracetamol,,,,,33199,19/9/2018,,,40,T22-CL0Y ,Paracetamol,Paracetamol,Paracetamol,,,,,30003,1/9/2018,,,40,T23-27R3 ,Paracetamol,Paracetamol,Paracetamol,,,,,34656,17/9/2018,,,40,T24-65TW ,Paracetamol,Paracetamol,Paracetamol,,,,,36035,10/8/2018,,,40,T25-BII1 ,Paracetamol,Paracetamol,Paracetamol,,,,,31871,14/8/2018,,,40,T26-9L7B ,Paracetamol,Paracetamol,Paracetamol,,,,,35305,10/8/2018,,,40,T27-ZANE ,Paracetamol,Paracetamol,Paracetamol,,,,,35852,15/9/2018,,,40,T28-I3Q7 ,Paracetamol,Paracetamol,Paracetamol,,,,,34316,8/9/2018,,,40,T29-VRHS ,Paracetamol,Paracetamol,Paracetamol,,,,,30296,4/9/2018,,,40,T30-WWHK ,Paracetamol,Paracetamol,Paracetamol,,,,,30546,4/9/2018,,,40,T31-EVEV ,Paracetamol,Paracetamol,Paracetamol,,,,,35701,18/8/2018,,,40,T32-XPEW ,Paracetamol,Paracetamol,Paracetamol,,,,,34293,10/9/2018,,,40,T33-K57J ,Paracetamol,Paracetamol,Paracetamol,,,,,33795,15/8/2018,,,40,T34-HBSD ,Paracetamol,Paracetamol,Paracetamol,,,,,34904,3/9/2018,,,40,T35-ZF17 ,Paracetamol,Paracetamol,Paracetamol,,,,,30248,20/8/2018,,,40,T36-XL7V ,Paracetamol,Paracetamol,Paracetamol,,,,,33826,5/9/2018,,,40,T37-PIOL ,Paracetamol,Paracetamol,Paracetamol,,,,,35607,3/9/2018,,,40,T38-YCQG ,Paracetamol,Paracetamol,Paracetamol,,,,,30172,15/9/2018,,,40,T39-93XK ,Paracetamol,Paracetamol,Paracetamol,,,,,30786,29/9/2018,,,40,T40-VJ4F ,Paracetamol,Paracetamol,Paracetamol,,,,,35279,5/9/2018,
41,T21-CYG3 ,Paracetamol,Paracetamol,Paracetamol,,,,,30351,23/8/2018,,,41,T22-QNEX ,Paracetamol,Paracetamol,Paracetamol,,,,,30080,14/8/2018,,,41,T23-PAAS ,Paracetamol,Paracetamol,Paracetamol,,,,,34734,22/9/2018,,,41,T24-ILO5 ,Paracetamol,Paracetamol,Paracetamol,,,,,36025,9/8/2018,,,41,T25-H5N4 ,Paracetamol,Paracetamol,Paracetamol,,,,,31780,9/9/2018,,,41,T26-JVZ3 ,Paracetamol,Paracetamol,Paracetamol,,,,,30517,1/9/2018,,,41,T27-Y09B ,Paracetamol,Paracetamol,Paracetamol,,,,,36334,6/9/2018,,,41,T28-PFXX ,Paracetamol,Paracetamol,Paracetamol,,,,,34309,8/9/2018,,,41,T29-Q90U ,Paracetamol,Paracetamol,Paracetamol,,,,,30280,5/9/2018,,,41,T30-IL9O ,Paracetamol,Paracetamol,Paracetamol,,,,,30545,4/9/2018,,,41,T31-7GRO ,Paracetamol,Paracetamol,Paracetamol,,,,,35287,13/9/2018,,,41,T32-GOOM ,Paracetamol,Paracetamol,Paracetamol,,,,,36309,10/9/2018,,,41,T33-OTZD ,Paracetamol,Paracetamol,Paracetamol,,,,,32188,6/9/2018,,,41,T34-IR3Y ,Paracetamol,Paracetamol,Paracetamol,,,,,34618,17/9/2018,,,41,T35-7D6O ,Paracetamol,Paracetamol,Paracetamol,,,,,35590,19/8/2018,,,41,T36-J3S6 ,Paracetamol,Paracetamol,Paracetamol,,,,,34653,17/8/2018,,,41,T37-7A41 ,Paracetamol,Paracetamol,Paracetamol,,,,,34478,19/8/2018,,,41,T38-25DE ,Paracetamol,Paracetamol,Paracetamol,,,,,35646,4/9/2018,,,41,T39-35TR ,Paracetamol,Paracetamol,Paracetamol,,,,,35899,16/9/2018,,,41,T40-5X2G ,Paracetamol,Paracetamol,Paracetamol,,,,,32089,22/9/2018,
42,T21-XIQS ,Paracetamol,Paracetamol,Paracetamol,,,,,35361,9/8/2018,,,42,T22-8AKY ,Paracetamol,Paracetamol,Paracetamol,,,,,30044,11/8/2018,,,42,T23-CQWP ,Paracetamol,Paracetamol,Paracetamol,,,,,34732,21/9/2018,,,42,T24-J1LJ ,Paracetamol,Paracetamol,Paracetamol,,,,,32394,22/8/2018,,,42,T25-WJMG ,Paracetamol,Paracetamol,Paracetamol,,,,,36207,5/9/2018,,,42,T26-OFBV ,Paracetamol,Paracetamol,Paracetamol,,,,,30519,1/9/2018,,,42,T27-POR4 ,Paracetamol,Paracetamol,Paracetamol,,,,,35875,16/9/2018,,,42,T28-Q4XY ,Paracetamol,Paracetamol,Paracetamol,,,,,29830,12/8/2018,,,42,T29-4V60 ,Paracetamol,Paracetamol,Paracetamol,,,,,30300,4/9/2018,,,42,T30-P9OE ,Paracetamol,Paracetamol,Paracetamol,,,,,34429,23/9/2018,,,42,T31-50N9 ,Paracetamol,Paracetamol,Paracetamol,,,,,35696,18/8/2018,,,42,T32-K0UR ,Paracetamol,Paracetamol,Paracetamol,,,,,36208,10/9/2018,,,42,T33-OJ6V ,Paracetamol,Paracetamol,Paracetamol,,,,,32964,21/9/2018,,,42,T34-70PA ,Paracetamol,Paracetamol,Paracetamol,,,,,30748,21/9/2018,,,42,T35-MV6Z ,Paracetamol,Paracetamol,Paracetamol,,,,,36245,30/8/2018,,,42,T36-MPEI ,Paracetamol,Paracetamol,Paracetamol,,,,,32497,6/9/2018,,,42,T37-XVD0 ,Paracetamol,Paracetamol,Paracetamol,,,,,34415,19/8/2018,,,42,T38-9MGL ,Paracetamol,Paracetamol,Paracetamol,,,,,32626,15/8/2018,,,42,T39-AWSX ,Paracetamol,Paracetamol,Paracetamol,,,,,35324,22/8/2018,,,42,T40-8NWH ,Paracetamol,Paracetamol,Paracetamol,,,,,34993,21/8/2018,
43,T21-YSCK ,Paracetamol,Paracetamol,Paracetamol,,,,,34892,24/8/2018,,,43,T22-C2OE ,Paracetamol,Paracetamol,Paracetamol,,,,,29404,11/8/2018,,,43,T23-R60O ,Paracetamol,Paracetamol,Paracetamol,,,,,34661,20/9/2018,,,43,T24-QXB4 ,Paracetamol,Paracetamol,Paracetamol,,,,,32721,9/8/2018,,,43,T25-ILKC ,Paracetamol,Paracetamol,Paracetamol,,,,,36206,5/9/2018,,,43,T26-YCIL ,Paracetamol,Paracetamol,Paracetamol,,,,,30422,9/9/2018,,,43,T27-W47K ,Paracetamol,Paracetamol,Paracetamol,,,,,35880,16/9/2018,,,43,T28-J3VY ,Paracetamol,Paracetamol,Paracetamol,,,,,32062,7/9/2018,,,43,T29-44ZW ,Paracetamol,Paracetamol,Paracetamol,,,,,33989,20/8/2018,,,43,T30-BMWJ ,Paracetamol,Paracetamol,Paracetamol,,,,,35384,20/8/2018,,,43,T31-VIWM ,Paracetamol,Paracetamol,Paracetamol,,,,,29400,4/9/2018,,,43,T32-0VPO ,Paracetamol,Paracetamol,Paracetamol,,,,,35000,4/9/2018,,,43,T33-EW3E ,Paracetamol,Paracetamol,Paracetamol,,,,,32092,21/9/2018,,,43,T34-M0JR ,Paracetamol,Paracetamol,Paracetamol,,,,,33915,14/8/2018,,,43,T35-LXML ,Paracetamol,Paracetamol,Paracetamol,,,,,35573,19/8/2018,,,43,T36-LYSC ,Paracetamol,Paracetamol,Paracetamol,,,,,33680,23/9/2018,,,43,T37-6JXI ,Paracetamol,Paracetamol,Paracetamol,,,,,35661,3/9/2018,,,43,T38-L0FZ ,Paracetamol,Paracetamol,Paracetamol,,,,,35753,4/9/2018,,,43,T39-DTRS ,Paracetamol,Paracetamol,Paracetamol,,,,,35891,16/9/2018,,,43,T40-P54S ,Paracetamol,Paracetamol,Paracetamol,,,,,34996,21/8/2018,
44,T21-KZSW ,Paracetamol,Paracetamol,Paracetamol,,,,,30346,20/8/2018,,,44,T22-P2ZG ,Paracetamol,Paracetamol,Paracetamol,,,,,32990,9/9/2018,,,44,T23-0KCE ,Paracetamol,Paracetamol,Paracetamol,,,,,34728,20/9/2018,,,44,T24-5EUR ,Paracetamol,Paracetamol,Paracetamol,,,,,35630,22/8/2018,,,44,T25-LYN3 ,Paracetamol,Paracetamol,Paracetamol,,,,,36205,5/9/2018,,,44,T26-GTRT ,Paracetamol,Paracetamol,Paracetamol,,,,,30505,1/9/2018,,,44,T27-H85A ,Paracetamol,Paracetamol,Paracetamol,,,,,30079,21/8/2018,,,44,T28-Q5JJ ,Paracetamol,Paracetamol,Paracetamol,,,,,29826,14/8/2018,,,44,T29-VYTN ,Paracetamol,Paracetamol,Paracetamol,,,,,34000,20/8/2018,,,44,T30-JITA ,Paracetamol,Paracetamol,Paracetamol,,,,,34431,23/9/2018,,,44,T31-1LVA ,Paracetamol,Paracetamol,Paracetamol,,,,,35044,13/9/2018,,,44,T32-X62S ,Paracetamol,Paracetamol,Paracetamol,,,,,35002,4/9/2018,,,44,T33-1DZ9 ,Paracetamol,Paracetamol,Suspicious,K,,,,32094,21/9/2018,,,44,T34-J6MR ,Paracetamol,Paracetamol,Paracetamol,,,,,34863,3/9/2018,,,44,T35-LRHW ,Paracetamol,Paracetamol,Paracetamol,,,,,35577,19/8/2018,,,44,T36-TBTB ,Paracetamol,Paracetamol,Paracetamol,,,,,35368,19/8/2018,,,44,T37-ZX0T ,Paracetamol,Paracetamol,Paracetamol,,,,,34627,19/8/2018,,,44,T38-W2UI ,Paracetamol,Paracetamol,Paracetamol,,,,,32314,25/9/2018,,,44,T39-5C9D ,Paracetamol,Paracetamol,Paracetamol,,,,,35821,16/9/2018,,,44,T40-PI4F ,Paracetamol,Paracetamol,Paracetamol,,,,,34998,21/8/2018,
45,T21-FS4G ,Paracetamol,Paracetamol,Suspicious,K,,,,33197,19/9/2018,,,45,T22-FME5 ,Paracetamol,Paracetamol,Paracetamol,,,,,32982,9/9/2018,,,45,T23-0NKK ,Paracetamol,Paracetamol,Paracetamol,,,,,30100,8/8/2018,,,45,T24-Z3RW ,Paracetamol,Paracetamol,Paracetamol,,,,,32429,24/8/2018,,,45,T25-6LGD ,Paracetamol,Paracetamol,Paracetamol,,,,,30573,9/9/2018,,,45,T26-94IS ,Paracetamol,Paracetamol,Paracetamol,,,,,30510,1/9/2018,,,45,T27-81GH ,Paracetamol,Paracetamol,Paracetamol,,,,,30124,16/9/2018,,,45,T28-AMOB ,Paracetamol,Paracetamol,Paracetamol,,,,,35301,5/9/2018,,,45,T29-B8ID ,Paracetamol,Paracetamol,Paracetamol,,,,,30301,4/9/2018,,,45,T30-56FM ,Paracetamol,Paracetamol,Paracetamol,,,,,34080,23/9/2018,,,45,T31-OFCR ,Paracetamol,Paracetamol,Paracetamol,,,,,35047,13/9/2018,,,45,T32-JEXR ,Paracetamol,Paracetamol,Paracetamol,,,,,32908,18/8/2018,,,45,T33-ZRRF ,Paracetamol,Paracetamol,Suspicious,K,,,,32112,21/9/2018,,,45,T34-T51E ,Paracetamol,Paracetamol,Paracetamol,,,,,33948,14/8/2018,,,45,T35-42KK ,Paracetamol,Paracetamol,Paracetamol,,,,,31933,12/9/2018,,,45,T36-G3GF ,Paracetamol,Paracetamol,Suspicious,K,,,,32001,20/9/2018,,,45,T37-5R6Y ,Paracetamol,Paracetamol,Paracetamol,,,,,34118,8/9/2018,,,45,T38-DT42 ,Paracetamol,Paracetamol,Paracetamol,,,,,32315,25/9/2018,,,45,T39-KX8L ,Paracetamol,Paracetamol,Paracetamol,,,,,35823,16/9/2018,,,45,T40-4WV8 ,Paracetamol,Paracetamol,Paracetamol,,,,,34997,21/8/2018,
46,T21-9D3C ,Paracetamol,Paracetamol,Paracetamol,,,,,34890,24/8/2018,,,46,T22-1OWE ,Paracetamol,Paracetamol,Paracetamol,,,,,35224,9/9/2018,,,46,T23-GXXT ,Paracetamol,Paracetamol,Paracetamol,,,,,33637,24/8/2018,,,46,T24-U058 ,Paracetamol,Paracetamol,Paracetamol,,,,,32428,24/8/2018,,,46,T25-DQH1 ,Paracetamol,Paracetamol,Paracetamol,,,,,36202,5/9/2018,,,46,T26-9ZJD ,Paracetamol,Paracetamol,Paracetamol,,,,,30500,1/9/2018,,,46,T27-ERPF ,Paracetamol,Paracetamol,Paracetamol,,,,,29873,16/9/2018,,,46,T28-0RLH ,Paracetamol,Paracetamol,Paracetamol,,,,,32060,7/9/2018,,,46,T29-9KRL ,Paracetamol,Paracetamol,Paracetamol,,,,,34001,20/8/2018,,,46,T30-0S5T ,Paracetamol,Lactose,Suspicious,K,,,,34087,23/9/2018,,,46,T31-GQWN ,Paracetamol,Paracetamol,Paracetamol,,,,,35282,13/9/2018,,,46,T32-HUQO ,Paracetamol,Paracetamol,Paracetamol,,,,,35189,4/9/2018,,,46,T33-5QJA ,Paracetamol,Lactose,Suspicious,K,,,,32096,21/9/2018,,,46,T34-U52S ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,34906,3/9/2018,,,46,T35-GZD7 ,Paracetamol,Paracetamol,Paracetamol,,,,,31988,10/9/2018,,,46,T36-NT29 ,Paracetamol,Paracetamol,Suspicious,K,,,,32032,22/9/2018,,,46,T37-8YEF ,Paracetamol,Starch,Suspicious,K,,,Yes,34413,19/8/2018,,,46,T38-ITZK ,Paracetamol,Paracetamol,Paracetamol,,,,,35605,4/9/2018,,,46,T39-YHBA ,Paracetamol,Paracetamol,Paracetamol,,,,,35327,22/8/2018,,,46,T40-IOSV ,Paracetamol,Paracetamol,Paracetamol,,,,,34124,22/9/2018,
47,T21-2D7Q ,Paracetamol,Paracetamol,Paracetamol,,,,,31753,10/8/2018,,,47,T22-SFOU ,Paracetamol,Vitamin C,Suspicious,K,,,,30000,2/9/2018,,,47,T23-3FYI ,Paracetamol,Paracetamol,Paracetamol,,,,,30092,9/8/2018,,,47,T24-Q0X5 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,32424,24/8/2018,,,47,T25-A4F0 ,Paracetamol,Vitamin C,Suspicious,K,,,,36226,5/9/2018,,,47,T26-PBHY ,Paracetamol,Starch,Paracetamol Starch,,,,Yes,30413,9/9/2018,,,47,T27-7M92 ,Paracetamol,Paracetamol,Paracetamol,,,,,29932,21/8/2018,,,47,T28-55JT ,Paracetamol,Vitamin C,Suspicious,K,,,,34310,8/9/2018,,,47,T29-Y7WF ,Paracetamol,Paracetamol,Paracetamol,,,,,34004,20/8/2018,,,47,T30-4MCX ,Paracetamol,Lactose,Paracetamol,,,,,35403,20/8/2018,,,47,T31-M1IB ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,35281,13/9/2018,,,47,T32-A7IZ ,Paracetamol,Starch,Suspicious,K,,,Yes,34289,10/9/2018,,,47,T33-BQ0H ,Paracetamol,Lactose,Paracetamol,,,,,32186,6/9/2018,,,47,T34-ZXQA ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,30747,21/9/2018,,,47,T35-10BO ,Paracetamol,Lactose,Suspicious,K,,,,32825,6/9/2018,,,47,T36-K9P2 ,Paracetamol,Lactose,Suspicious,K,,,,34788,16/8/2018,,,47,T37-DUJD ,Paracetamol,Starch,Suspicious,K,,,Yes,34411,19/8/2018,,,47,T38-WDYR ,Paracetamol,Lactose,Suspicious,K,,,,30179,15/9/2018,,,47,T39-TNO9 ,Paracetamol,Paracetamol,Paracetamol,,,,,30785,29/9/2018,,,47,T40-GGLJ ,Paracetamol,Lactose,Suspicious,K,,,,34877,21/8/2018,
48,T21-02XQ ,Paracetamol,Paracetamol,Paracetamol,,,,,30349,23/8/2018,,,48,T22-1OUA ,Paracetamol,Vitamin C,Suspicious,K,,,,34276,9/9/2018,,,48,T23-8S95 ,Paracetamol,Paracetamol,Paracetamol,,,,,34658,21/9/2018,,,48,T24-09YQ ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,32427,24/8/2018,,,48,T25-9KRI ,Paracetamol,Vitamin C,Suspicious,K,,,,30568,9/9/2018,,,48,T26-GYIF ,Paracetamol,Starch,Paracetamol Starch,,,,Yes,30512,1/9/2018,,,48,T27-9030 ,Paracetamol,Lactose,Suspicious,K,,,,35858,15/9/2018,,,48,T28-427B ,Paracetamol,Vitamin C,Suspicious,K,,,,31938,5/9/2018,,,48,T29-DUUO ,Paracetamol,Cellulose,Paracetamol,,,,,37297,4/9/2018,,,48,T30-VKJV ,Paracetamol,Lactose,Suspicious,K,,,,34085,23/9/2018,,,48,T31-7YW8 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,35702,18/8/2018,,,48,T32-1H6P ,Paracetamol,Starch,Suspicious,K,,,Yes,34291,10/9/2018,,,48,T33-7999 ,Paracetamol,Lactose,Suspicious,K,,,,32117,21/9/2018,,,48,T34-0E2L ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,30751,21/9/2018,,,48,T35-02ED ,Paracetamol,Lactose,Suspicious,K,,,,31984,12/9/2018,,,48,T36-FHLI ,Paracetamol,Lactose,Suspicious,K,,,,32003,22/9/2018,,,48,T37-IG8U ,Paracetamol,Starch,Suspicious,K,,,Yes,35725,3/9/2018,,,48,T38-WZRM ,Paracetamol,Lactose,Suspicious,K,,,,30178,15/9/2018,,,48,T39-WQ39 ,Paracetamol,Paracetamol,Paracetamol,,,,,35820,16/9/2018,,,48,T40-5Z88 ,Paracetamol,Lactose,Suspicious,K,,,,35277,5/9/2018,
49,T21-A6CA ,Paracetamol,Paracetamol,Paracetamol,,,,,31747,10/8/2018,,,49,T22-STCG ,Paracetamol,Vitamin C,Suspicious,K,,,,34274,9/9/2018,,,49,T23-TZDY ,Paracetamol,Lactose,Suspicious,K,,,,30574,19/8/2018,,,49,T24-GNWD ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,35024,10/9/2018,,,49,T25-PUKC ,Paracetamol,Vitamin C,Suspicious,K,,,,31866,14/8/2018,,,49,T26-E9QA ,Paracetamol,Lactose,Paracetamol,,,,,30513,1/9/2018,,,49,T27-CK59 ,Paracetamol,Lactose,Suspicious,K,,,,35860,15/9/2018,,,49,T28-NTKR ,Paracetamol,Vitamin C,Suspicious,K,,,,34312,8/9/2018,,,49,T29-3RHM ,Paracetamol,Cellulose,Paracetamol,,,,,31776,12/9/2018,,,49,T30-RMK8 ,Paracetamol,Lactose,Suspicious,K,,,,35374,20/8/2018,,,49,T31-NJ27 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,31628,4/9/2018,,,49,T32-7RUS ,Paracetamol,Starch,Suspicious,K,,,Yes,34295,10/9/2018,,,49,T33-8EGR ,Paracetamol,Cellulose,Suspicious,K,,,,32185,6/9/2018,,,49,T34-2AZ6 ,Paracetamol,Vitamin C,Suspicious,K,,,,30752,21/9/2018,,,49,T35-XTT9 ,Paracetamol,Lactose,Suspicious,K,,,,35827,12/8/2018,,,49,T36-9Z5S ,Paracetamol,Lactose,Suspicious,K,,,,33851,4/9/2018,,,49,T37-N5B5 ,Paracetamol,Starch,Suspicious,K,,,Yes,35725,3/9/2018,,,49,T38-XPNN ,Paracetamol,Lactose,Suspicious,K,,,,35768,4/9/2018,,,49,T39-3LU9 ,Paracetamol,Lactose,Suspicious,K,,,,35256,22/8/2018,,,49,T40-U6BP ,Paracetamol,Lactose,Suspicious,K,,,,34092,22/9/2018,
50,T21-D8CR ,Paracetamol,Paracetamol,Paracetamol,,,,,30337,20/8/2018,,,50,T22-QYVU ,Paracetamol,Vitamin C,Suspicious,K,,,,30005,3/9/2018,,,50,T23-15AC ,Paracetamol,Lactose,Suspicious,K,,,,33639,23/8/2018,,,50,T24-SKT2 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,35173,10/9/2018,,,50,T25-D0SQ ,Paracetamol,Vitamin C,Suspicious,K,,,,31869,14/8/2018,,,50,T26-PJNT ,Paracetamol,Lactose,Paracetamol,,,,,30423,9/9/2018,,,50,T27-6AF2 ,Paracetamol,Lactose,Suspicious,K,,,,30130,16/9/2018,,,50,T28-W8DQ ,Paracetamol,Vitamin C,Suspicious,K,,,,32058,7/9/2018,,,50,T29-UZWM ,Paracetamol,Cellulose,Paracetamol,,,,,30220,4/9/2018,,,50,T30-V4Z2 ,Paracetamol,Cellulose,Suspicious,K,,,,35400,20/8/2018,,,50,T31-TYS6 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,31627,4/9/2018,,,50,T32-ABVY ,Paracetamol,Starch,Suspicious,K,,,Yes,32581,18/8/2018,,,50,T33-EZFU ,Paracetamol,Cellulose,Suspicious,K,,,,32093,21/9/2018,,,50,T34-NTZG ,Paracetamol,Vitamin C,Suspicious,K,,,,34887,3/9/2018,,,50,T35-XY6L ,Paracetamol,Starch,Suspicious,K,,,Yes,36262,5/9/2018,,,50,T36-KXWU ,Paracetamol,Lactose,Suspicious,K,,,,33829,4/9/2018,,,50,T37-4TR8 ,Paracetamol,Lactose,Suspicious,K,,,,35660,3/9/2018,,,50,T38-0RBX ,Paracetamol,Lactose,Suspicious,K,,,,35604,4/9/2018,,,50,T39-X6RV ,Paracetamol,Lactose,Suspicious,K,,,,30781,29/9/2018,,,50,T40-DWSD,Paracetamol,Lactose,Suspicious,K,,,,34093,22/9/2018,
51,T21-XIQY ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,35360,9/8/2018,,,51,T22-1R3S ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,34278,9/9/2018,,,51,T23-79LI ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,34706,21/9/2018,,,51,T24-GNMW ,Paracetamol,Vitamin C,Suspicious,K,,,,32950,24/8/2018,,,51,T25-ZY45 ,Paracetamol,Vitamin C,Suspicious,K,,,,29406,5/9/2018,,,51,T26-8VFZ ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,30518,1/9/2018,,,51,T27-UHF7 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,30121,16/9/2018,,,51,T28-7VHB ,Paracetamol,Paracetamol Starch,Suspicious,K,,,Yes,34311,8/9/2018,,,51,T29-BL4D ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,33998,20/8/2018,,,51,T30-2QHC ,Paracetamol,Cellulose,Suspicious,K,,,,34426,23/9/2018,,,51,T31-HJ1X ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,35280,13/9/2018,,,51,T32-XQ2W ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,32910,18/8/2018,,,51,T33-ZF1M ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,33741,15/8/2018,,,51,T34-HL46 ,Paracetamol,Vitamin C,Suspicious,K,,,,30753,21/9/2018,,,51,T35-QZWB ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,31991,12/9/2018,,,51,T36-E7ND ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,35370,19/8/2018,,,51,T37-MKFA ,Paracetamol,Paracetamol Starch,Suspicious,K,,,,34113,8/9/2018,,,51,T38-41IC ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,32285,25/9/2018,,,51,T39-RWH2 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,33872,22/8/2018,,,51,T40-198Y ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,,,Yes,35237,5/9/2018,
